"","Respirometry.number","run","probe","Date","Time","Chamber","Site","Colour","Bag.Number","Mass","Length","file.letter","Run","Notes","rate","bgrd_rate","corrected_rate","Oyster.tissue.dry.mass","standardized_rate","positive","Ploidy"
"26",37,5,9,6082023,1346,9,"Chelsea","blue","51",NA,NA,"d",5,"",-0.375455471,-0.130314742,-0.245140729,0.6163,-0.397762013629726,FALSE,"Induced triploid"
"27",38,6,1,6082023,1506,1,"Chelsea","red","43",NA,NA,"e",6,"",-0.213063183,-0.1241130695,-0.0889501135,0.4849,-0.183440118581151,FALSE,"Mated triploid"
"28",39,6,2,6082023,1506,2,"Chelsea","blue","55",NA,NA,"e",6,"",-0.582243207,-0.1241130695,-0.4581301375,0.6677,-0.686131702111727,FALSE,"Induced triploid"
"29",41,6,5,6082023,1506,5,"Chelsea","red","43",NA,NA,"e",6,"",-0.316896723,-0.1241130695,-0.1927836535,0.7925,-0.243260130599369,FALSE,"Mated triploid"
"30",42,6,7,6082023,1506,7,"Chelsea","red","41",NA,NA,"e",6,"",-0.185463696,-0.1241130695,-0.0613506265,0.5375,-0.114140700465116,FALSE,"Mated triploid"
"31",43,6,8,6082023,1506,8,"Chelsea","blue","51",NA,NA,"e",6,"",-0.290470274,-0.1241130695,-0.1663572045,0.6028,-0.275974128234904,FALSE,"Induced triploid"
"32",44,6,9,6082023,1506,9,"Chelsea","red","41",NA,NA,"e",6,"",-0.564805157,-0.1241130695,-0.4406920875,0.4494,-0.980623247663551,FALSE,"Mated triploid"
"33",45,7,1,6082023,1630,1,"Chelsea","green","62",NA,NA,"f ",7,"",-0.359524681,-0.117911397,-0.241613284,0.3295,-0.733272485584218,FALSE,"Diploid"
"34",46,7,2,6082023,1630,2,"Chelsea","green","53",NA,NA,"f ",7,"",-0.359441158,-0.117911397,-0.241529761,0.2673,-0.903590576131688,FALSE,"Diploid"
"35",47,7,4,6082023,1630,4,"Chelsea","green","35",NA,NA,"f ",7,"",-0.407195081,-0.117911397,-0.289283684,0.2384,-1.21343827181208,FALSE,"Diploid"
"36",48,7,5,6082023,1630,5,"Chelsea","green","53",NA,NA,"f ",7,"",-0.611908644,-0.117911397,-0.493997247,0.2676,-1.84602857623318,FALSE,"Diploid"
"37",50,7,8,6082023,1630,8,"Chelsea","red","31",NA,NA,"f ",7,"",-0.476160118,-0.117911397,-0.358248721,0.7932,-0.451649925617751,FALSE,"Mated triploid"
"38",51,7,9,6082023,1630,9,"Chelsea","blue","59",NA,NA,"f ",7,"",-0.592326614,-0.117911397,-0.474415217,0.8478,-0.559583884170795,FALSE,"Induced triploid"
"39",53,8,4,6132023,NA,4,"Manchester","green","95",NA,NA,"a",8,"",-0.36394929,-0.036385404,-0.327563886,0.3619,-0.905122647140094,FALSE,"Diploid"
"40",54,8,7,6132023,NA,7,"Manchester","green","76",NA,NA,"a",8,"",-0.164903676,-0.036385404,-0.128518272,0.6285,-0.204484124105012,FALSE,"Diploid"
"41",55,8,9,6132023,NA,9,"Manchester","red","12",NA,NA,"a",8,"",-0.056661483,-0.036385404,-0.020276079,0.8747,-0.0231806093517777,FALSE,"Mated triploid"
"42",56,9,1,6132023,1430,1,"Manchester","red","14",NA,NA,"c",9,"",-0.106061542,-0.043351061,-0.062710481,1.3223,-0.0474253051501172,FALSE,"Mated triploid"
"43",57,9,2,6132023,1430,2,"Manchester","blue","57",NA,NA,"c",9,"same oyster as from chamber 2 in last run",-0.086609624,-0.043351061,-0.043258563,0.6808,-0.0635407799647473,FALSE,"Induced triploid"
"44",59,9,7,6132023,1430,7,"Manchester","green","92",NA,NA,"c",9,"same oyster as from chamber 5 in last run",-0.296006887,-0.043351061,-0.252655826,0.3496,-0.722699731121281,FALSE,"Diploid"
"45",60,9,9,6132023,1430,9,"Manchester","blue","30",NA,NA,"c",9,"same oyster as from chamber 8 in last run",-0.091747807,-0.043351061,-0.048396746,0.5069,-0.0954759242454133,FALSE,"Induced triploid"
"46",61,10,1,6132023,1745,1,"Manchester","red","13",NA,NA,"d",10,"",-0.347709523,-0.048414876,-0.299294647,0.8435,-0.354824714878483,FALSE,"Mated triploid"
"47",63,10,4,6132023,1745,4,"Manchester","red","12",NA,NA,"d",10,"",-0.213565378,-0.048414876,-0.165150502,0.695,-0.237626621582734,FALSE,"Mated triploid"
"48",64,10,7,6132023,1745,7,"Manchester","green","76",NA,NA,"d",10,"",-0.493834782,-0.048414876,-0.445419906,0.5763,-0.772895897969807,FALSE,"Diploid"
"49",65,10,9,6132023,1745,9,"Manchester","red","13",NA,NA,"d",10,"",-0.349527114,-0.048414876,-0.301112238,0.7573,-0.397612885250231,FALSE,"Mated triploid"
"50",66,11,1,6142023,900,1,"Manchester","blue","57",NA,NA,"bb",11,"",-0.122900214,-0.052794166,-0.070106048,0.7258,-0.0965914136125654,FALSE,"Induced triploid"
"51",67,11,2,6142023,900,2,"Manchester","blue","30",NA,NA,"bb",11,"",-0.472528116,-0.052794166,-0.41973395,0.653,-0.64277787136294,FALSE,"Induced triploid"
"52",68,11,4,6142023,900,4,"Manchester","red","14",NA,NA,"bb",11,"",-0.148395622,-0.052794166,-0.095601456,1.3891,-0.0688225872867324,FALSE,"Mated triploid"
"53",69,11,7,6142023,900,7,"Manchester","green","92",NA,NA,"bb",11,"",-0.093362937,-0.052794166,-0.040568771,0.2051,-0.197799956118966,FALSE,"Diploid"
"54",70,11,8,6142023,900,8,"Manchester","green","95",NA,NA,"bb",11,"",-0.068199008,-0.052794166,-0.015404842,0.3675,-0.041917937414966,FALSE,"Diploid"
"55",72,12,1,6142023,1200,1,"Manchester","blue","33",NA,NA,"c",12,"",-0.100587774,-0.030563298,-0.070024476,0.5395,-0.129795136237257,FALSE,"Induced triploid"
"56",73,12,2,6142023,1200,2,"Manchester","blue","30",NA,NA,"c",12,"",-0.144130053,-0.030563298,-0.113566755,1.3367,-0.0849605408842672,FALSE,"Induced triploid"
"57",74,12,4,6142023,1200,4,"Manchester","blue","33",NA,NA,"c",12,"I dont know what the second drop off on the graph is but the mag bar was spinning the whole time",-0.109627436,-0.030563298,-0.079064138,1.0984,-0.071981189002185,FALSE,"Induced triploid"
"58",75,12,7,6142023,1200,7,"Manchester","green","92",NA,NA,"c",12,"",-0.078731952,-0.030563298,-0.048168654,0.4483,-0.107447365603391,FALSE,"Diploid"
"59",77,12,9,6142023,1200,9,"Manchester","red","14",NA,NA,"c",12,"The graph on this one looks weird but it's bc I had the sensor out of the water right at the start",-0.108691176,-0.030563298,-0.078127878,0.9611,-0.0812900613879929,FALSE,"Mated triploid"
"60",78,13,1,6192023,1208,1,"Hood Head","blue","84",NA,NA,"a",13,"",-0.444794214,-0.384540974,-0.06025324,0.5701,-0.105688896684792,FALSE,"Induced triploid"
"61",79,13,2,6192023,1208,2,"Hood Head","red","47",NA,NA,"a",13,"",-0.839452464,-0.384540974,-0.45491149,1.3451,-0.338199011225931,FALSE,"Mated triploid"
"62",80,13,4,6192023,1208,4,"Hood Head","green","78",NA,NA,"a",13,"",-0.680097328,-0.384540974,-0.295556354,0.444,-0.665667463963964,FALSE,"Diploid"
"63",82,13,7,6192023,1208,7,"Hood Head","red","37",NA,NA,"a",13,"",-0.531155245,-0.384540974,-0.146614271,1.1276,-0.130023298155374,FALSE,"Mated triploid"
"64",84,13,9,6192023,1208,9,"Hood Head","green","87",NA,NA,"a",13,"",-2.3921619,-0.384540974,-2.007620926,0.5219,-3.84675402567542,FALSE,"Diploid"
"65",87,14,4,6192023,1330,4,"Hood Head","blue","85",NA,NA,"b",14,"",-0.631262462,-0.2119848545,-0.4192776075,0.8327,-0.503515801008767,FALSE,"Induced triploid"
"66",88,14,7,6192023,1330,7,"Hood Head","red","32",NA,NA,"b",14,"",-1.083215075,-0.2119848545,-0.8712302205,1.3296,-0.655257386055957,FALSE,"Mated triploid"
"67",91,15,1,6192023,1440,1,"Hood Head","green","87",NA,NA,"c",15,"",-1.155623013,-0.039428735,-1.116194278,0.4317,-2.58557859161455,FALSE,"Diploid"
"68",92,15,2,6192023,1440,2,"Hood Head","red","38",NA,NA,"c",15,"",-0.843016096,-0.039428735,-0.803587361,0.9575,-0.839255729503916,FALSE,"Mated triploid"
"69",93,15,4,6192023,1440,4,"Hood Head","blue","85",NA,NA,"c",15,"",-1.234402633,-0.039428735,-1.194973898,1.2062,-0.99069300116067,FALSE,"Induced triploid"
"70",95,15,8,6192023,1440,8,"Hood Head","red","47",NA,NA,"c",15,"",-0.068150269,-0.039428735,-0.028721534,1.7169,-0.0167287168734347,FALSE,"Mated triploid"
"71",97,16,1,6192023,1600,1,"Hood Head","green","54",NA,NA,"d",16,"",-1.045215981,-0.033096605,-1.012119376,0.3797,-2.6655764445615,FALSE,"Diploid"
"72",97,16,1,6192023,1600,1,"Hood Head","green","54",NA,NA,"d",16,"",-1.045215981,-0.033096605,-1.012119376,0.7598,-1.33208657015004,FALSE,"Diploid"
"73",99,16,4,6192023,1600,4,"Hood Head","blue","85",NA,NA,"d",16,"",-0.562803194,-0.033096605,-0.529706589,0.915,-0.578914304918033,FALSE,"Induced triploid"
"74",100,16,7,6192023,1600,7,"Hood Head","red","47",NA,NA,"d",16,"",-1.012034116,-0.033096605,-0.978937511,0.8939,-1.09513089942947,FALSE,"Mated triploid"
"75",101,16,8,6192023,1600,8,"Hood Head","red","38",NA,NA,"d",16,"",-0.034977466,-0.033096605,-0.001880861,0.7578,-0.00248200184745315,FALSE,"Mated triploid"
"76",102,16,9,6192023,1600,9,"Hood Head","green","78",NA,NA,"d",16,"",-0.063973736,-0.033096605,-0.030877131,0.1962,-0.157375795107034,FALSE,"Diploid"
"77",103,17,1,6192023,1700,1,"Hood Head","blue","86",NA,NA,"e",17,"",-2.093500219,-0.025940144,-2.067560075,1.2636,-1.63624570671098,FALSE,"Induced triploid"
"78",104,17,2,6192023,1700,2,"Hood Head","green","54",NA,NA,"e",17,"",-0.287379871,-0.025940144,-0.261439727,0.2164,-1.20813182532347,FALSE,"Diploid"
"79",108,17,9,6192023,1700,9,"Hood Head","green","87",NA,NA,"e",17,"",-1.087699543,-0.025940144,-1.061759399,0.3169,-3.35045566109183,FALSE,"Diploid"
"80",109,18,1,6192023,6192023,1,"Hood Head","blue","87",NA,NA,"f",18,"",-0.248749718,-0.077519281,-0.171230437,1.2412,-0.137955556719304,FALSE,"Induced triploid"
"81",109,18,1,6192023,6192023,1,"Hood Head","blue","87",NA,NA,"f",18,"",-0.248749718,-0.077519281,-0.171230437,0.5923,-0.289094102650684,FALSE,"Induced triploid"
"82",110,18,7,6192023,6192023,7,"Hood Head","blue","87",NA,NA,"f",18,"",-1.065472459,-0.077519281,-0.987953178,0.9158,-1.07878704739026,FALSE,"Induced triploid"
"83",111,18,9,6192023,6192023,9,"Hood Head","green","54",NA,NA,"f",18,"",-0.798072126,-0.077519281,-0.720552845,0.4525,-1.59238197790055,FALSE,"Diploid"
