"","Respirometry.number","run","probe","Date","Time","Chamber","Site","Colour","Bag.Number","Mass","Length","file.letter","Run","Notes","rate","bgrd_rate","corrected_rate","positve","Oyster.tissue.dry.mass","standardized_rate","Ploidy"
"15","113",19,1,7192023,1145,1,"Hood Head","red","47",NA,NA,"b",19,"",-0.866066105,-0.171412768,-0.694653337,FALSE,1.3911,-0.499355428797355,"Mated triploid"
"16","114",19,4,7192023,1145,4,"Hood Head","green","78",NA,NA,"b",19,"",-0.837340115,-0.171412768,-0.665927347,FALSE,0.9813,-0.678617494140426,"Diploid"
"17","115",19,8,7192023,1145,8,"Hood Head","blue","85",NA,NA,"b",19,"",-1.174371552,-0.171412768,-1.002958784,FALSE,1.5131,-0.662850296741788,"Induced triploid"
"18","116",19,9,7192023,1145,9,"Hood Head","blue","86",NA,NA,"b",19,"",-1.036197619,-0.171412768,-0.864784851,FALSE,1.639,-0.527629561317877,"Induced triploid"
"19","12",2,9,7072023,1229,9,"Thorndyke","red","7",NA,NA,"b",2,"",-0.655826212,-0.074903161,-0.580923051,FALSE,0.6275,-0.925773786454184,"Mated triploid"
"20","13",3,1,7072023,1342,1,"Thorndyke","red","6",NA,NA,"c",3,"battery stopped around 6 mins but started again",-0.572794726,-0.052101527,-0.520693199,FALSE,0.897,-0.580482942028986,"Mated triploid"
"21","15",3,4,7072023,1342,4,"Thorndyke","green","90",NA,NA,"c",3,"",-0.944582417,-0.052101527,-0.89248089,FALSE,1.6412,-0.543797763831343,"Diploid"
"22","16",3,5,7072023,1342,5,"Thorndyke","red","7",NA,NA,"c",3,"",-1.818899752,-0.052101527,-1.766798225,FALSE,1.169,-1.51137572711719,"Mated triploid"
"23","17",3,8,7072023,1342,8,"Thorndyke","blue","71",NA,NA,"c",3,"",-0.731721325,-0.052101527,-0.679619798,FALSE,1.2235,-0.555471841438496,"Induced triploid"
"24","18",3,9,7072023,1342,9,"Thorndyke","blue","56",NA,NA,"c",3,"",-1.508482784,-0.052101527,-1.456381257,FALSE,1.6618,-0.876387806595258,"Induced triploid"
"25","2",1,2,7072023,1136,2,"Thorndyke","green","90",NA,NA,"a",1,"",-2.730079311,-0.281362299,-2.448717012,FALSE,0.8819,-2.7766379544166,"Diploid"
"26","20",4,2,7072023,NA,2,"Thorndyke","red","6",NA,NA,"d",4,"",-0.449357014,-0.089287362,-0.360069652,FALSE,1.2495,-0.288170989995998,"Mated triploid"
"27","22",4,5,7072023,NA,5,"Thorndyke","red","6",NA,NA,"d",4,"",-0.337535042,-0.089287362,-0.24824768,FALSE,0.7007,-0.354285257599543,"Mated triploid"
"28","24",4,8,7072023,NA,8,"Thorndyke","blue","56",NA,NA,"d",4,"",-0.549083367,-0.089287362,-0.459796005,FALSE,2.0228,-0.227306706051018,"Induced triploid"
"29","26",5,1,7072023,NA,1,"Thorndyke","red","4",NA,NA,"e",5,"",-2.461603797,-0.0947318955,-2.3668719015,FALSE,1.5857,-1.49263536703033,"Mated triploid"
"30","27",5,2,7072023,NA,2,"Thorndyke","red","4",NA,NA,"e",5,"",-0.249427776,-0.0947318955,-0.1546958805,FALSE,1.4454,-0.107026345994188,"Mated triploid"
"31","28",5,4,7072023,NA,4,"Thorndyke","blue","71",NA,NA,"e",5,"",-1.001661259,-0.0947318955,-0.9069293635,FALSE,1.1078,-0.818676081873985,"Induced triploid"
"32","29",5,5,7072023,NA,5,"Chelsea","red","43",NA,NA,"e",5,"",-1.253737509,-0.0947318955,-1.1590056135,FALSE,1.2372,-0.936797295101843,"Mated triploid"
"33","3",1,4,7072023,1136,4,"Thorndyke","blue","35",NA,NA,"a",1,"",-1.315711395,-0.281362299,-1.034349096,FALSE,1.2127,-0.852930729776532,"Induced triploid"
"34","31",5,8,7072023,NA,8,"Chelsea","red","42",NA,NA,"e",5,"",-0.328898294,-0.0947318955,-0.2341663985,FALSE,0.7192,-0.325592878893215,"Mated triploid"
"35","32",5,9,7072023,NA,9,"Chelsea","blue","59",NA,NA,"e",5,"",-0.478881226,-0.0947318955,-0.3841493305,FALSE,0.5501,-0.698326359752772,"Induced triploid"
"36","33",6,1,7102023,1043,1,"Chelsea","blue","51",NA,NA,"a",6,"",-0.40221505,-0.100176429,-0.302038621,FALSE,0.5268,-0.573345901670463,"Induced triploid"
"37","34",6,2,7102023,1043,2,"Chelsea","red","42",NA,NA,"a",6,"",-0.139530819,-0.100176429,-0.03935439,FALSE,0.6587,-0.0597455442538333,"Mated triploid"
"38","36",6,5,7102023,1043,5,"Chelsea","red","41",NA,NA,"a",6,"",-0.177720064,-0.100176429,-0.077543635,FALSE,1.2625,-0.061420700990099,"Mated triploid"
"39","37",6,7,7102023,1043,7,"Chelsea","red","41",NA,NA,"a",6,"moved probe at ~15 mins",-1.336329896,-0.100176429,-1.236153467,FALSE,1.498,-0.825202581441923,"Mated triploid"
"40","38",6,8,7102023,1043,8,"Chelsea","green","53",NA,NA,"a",6,"",-0.391950401,-0.100176429,-0.291773972,FALSE,0.4984,-0.585421292134831,"Diploid"
"41","39",6,9,7102023,1043,9,"Chelsea","blue","62",NA,NA,"a",6,"",-0.4554969,-0.100176429,-0.355320471,FALSE,0.7609,-0.466973940070969,"Induced triploid"
"42","4",1,5,7072023,1136,5,"Thorndyke","green","82",NA,NA,"a",1,"",-2.22558933,-0.281362299,-1.944227031,FALSE,0.7345,-2.64700753029272,"Diploid"
"43","40",7,1,7102023,1359,1,"Chelsea","green","53",NA,NA,"b",7,"",-0.342738042,-0.069593891,-0.273144151,FALSE,0.4213,-0.648336460954189,"Diploid"
"44","41",7,2,7102023,1359,2,"Chelsea","red","42",NA,NA,"b",7,"",-0.386961834,-0.069593891,-0.317367943,FALSE,0.6287,-0.504800291076825,"Mated triploid"
"45","42",7,4,7102023,1359,4,"Chelsea","green","52",NA,NA,"b",7,"",-0.074601985,-0.069593891,-0.00500809399999999,FALSE,0.2726,-0.0183715847395451,"Diploid"
"46","43",7,5,7102023,1359,5,"Chelsea","blue","62",NA,NA,"b",7,"",-0.373837256,-0.069593891,-0.304243365,FALSE,0.485,-0.627305907216495,"Induced triploid"
"47","44",7,7,7102023,1359,7,"Chelsea","blue","58",NA,NA,"b",7,"",-0.547552946,-0.069593891,-0.477959055,FALSE,1.0445,-0.457596031594064,"Induced triploid"
"48","45",7,8,7102023,1359,8,"Chelsea","red","41",NA,NA,"b",7,"",-0.131913561,-0.069593891,-0.06231967,FALSE,0.9932,-0.0627463451469996,"Mated triploid"
"49","47",8,1,7102023,NA,1,"Chelsea","blue","51",NA,NA,"c",8,"",-0.445068918,-0.047888405,-0.397180513,FALSE,0.9087,-0.437086511499945,"Induced triploid"
"50","48",8,2,7102023,NA,2,"Chelsea","blue","59",NA,NA,"c",8,"",-0.220988568,-0.047888405,-0.173100163,FALSE,0.273,-0.634066531135531,"Induced triploid"
"51","49",8,4,7102023,NA,4,"Chelsea","green","52",NA,NA,"c",8,"",-0.354962926,-0.047888405,-0.307074521,FALSE,0.4236,-0.724916244098206,"Diploid"
"52","5",1,8,7072023,1136,8,"Thorndyke","red","7",NA,NA,"a",1,"",-0.328959555,-0.281362299,-0.047597256,FALSE,1.2522,-0.0380109056061332,"Mated triploid"
"53","50",9,5,7102023,NA,5,"Chelsea","blue","51",NA,NA,"d",9,"repeat of run 3 chamber 5",-0.47662014,-0.04522036,-0.43139978,FALSE,0.9331,-0.462329632408102,"Induced triploid"
"54","51",8,7,7102023,NA,7,"Chelsea","green","53",NA,NA,"c",8,"",-0.343961131,-0.047888405,-0.296072726,FALSE,0.164,-1.8053215,"Diploid"
"55","53",8,9,7102023,NA,9,"Chelsea","blue","62",NA,NA,"c",8,"",-0.664180811,-0.047888405,-0.616292406,FALSE,1.0993,-0.560622583462203,"Induced triploid"
"56","54",9,1,7102023,NA,1,"Chelsea","green","53",NA,NA,"d",9,"",-0.120846608,-0.04522036,-0.075626248,FALSE,0.4743,-0.159448129875606,"Diploid"
"57","55",9,2,7102023,NA,2,"Chelsea","green","52",NA,NA,"d",9,"",-0.241796374,-0.04522036,-0.196576014,FALSE,0.4411,-0.445649544321016,"Diploid"
"58","56",9,4,7102023,NA,4,"Chelsea","green","53",NA,NA,"d",9,"",-0.308938789,-0.04522036,-0.263718429,FALSE,0.4144,-0.636386170366795,"Diploid"
"59","57",9,7,7102023,NA,7,"Chelsea","red","43",NA,NA,"d",9,"",-0.110122033,-0.04522036,-0.064901673,FALSE,1.2866,-0.0504443284626146,"Mated triploid"
"60","58",9,8,7102023,NA,8,"Chelsea","red","43",NA,NA,"d",9,"",-0.54917415,-0.04522036,-0.50395379,FALSE,1.2116,-0.415940731264444,"Mated triploid"
"61","6",1,9,7072023,1136,9,"Thorndyke","blue","35",NA,NA,"a",1,"",-0.49448257,-0.281362299,-0.213120271,FALSE,1.2242,-0.174089422479987,"Induced triploid"
"62","60",10,1,7112023,1004,1,"Manchester","red","13",NA,NA,"a",10,"",-0.082674429,-0.046260643,-0.036413786,FALSE,0.4677,-0.0778571434680351,"Mated triploid"
"63","62",10,4,7112023,1004,4,"Manchester","green","92",NA,NA,"a",10,"",-0.091678273,-0.046260643,-0.04541763,FALSE,0.4382,-0.103645892286627,"Diploid"
"64","63",10,5,7112023,1004,5,"Chelsea","green","53",NA,NA,"a",10,"",-0.440741472,-0.046260643,-0.394480829,FALSE,0.6185,-0.637802472109943,"Diploid"
"65","64",10,7,7112023,1004,7,"Manchester","green","95",NA,NA,"a",10,"",-0.615813171,-0.046260643,-0.569552528,FALSE,0.5631,-1.01145893802167,"Diploid"
"66","65",10,8,7112023,1004,8,"Manchester","red","12",NA,NA,"a",10,"",-0.08291974,-0.046260643,-0.036659097,FALSE,0.8533,-0.0429615574827142,"Mated triploid"
"67","66",10,9,7112023,1004,9,"Manchester","blue","57",NA,NA,"a",10,"",-0.107341277,-0.046260643,-0.061080634,FALSE,1.4689,-0.0415825679079583,"Induced triploid"
"68","68",11,2,7112023,NA,2,"Manchester","blue","30",NA,NA,"b",11,"",-0.651182803,-0.040417029,-0.610765774,FALSE,1.3208,-0.462421088734101,"Induced triploid"
"69","69",11,4,7112023,NA,4,"Manchester","blue","57",NA,NA,"b",11,"",-0.576579455,-0.040417029,-0.536162426,FALSE,0.9694,-0.55308688467093,"Induced triploid"
"70","7",2,1,7072023,1229,1,"Thorndyke","blue","35",NA,NA,"b",2,"battery died again about 33 minutes in ",-0.915678064,-0.074903161,-0.840774903,FALSE,1.1698,-0.718733888698923,"Induced triploid"
"71","70",11,5,7112023,NA,5,"Manchester","green","94",NA,NA,"b",11,"",-0.489584514,-0.040417029,-0.449167485,FALSE,0.6514,-0.689541733190052,"Diploid"
"72","71",11,7,7112023,NA,7,"Manchester","red","25",NA,NA,"b",11,"",-0.201445021,-0.040417029,-0.161027992,FALSE,1.5938,-0.101034001756808,"Mated triploid"
"73","72",12,1,7112023,1420,1,"Manchester","green","95",NA,NA,"c",12,"repeat of run 2 ch8",-0.59057166,-0.039817129,-0.550754531,FALSE,0.7232,-0.761552172289823,"Diploid"
"74","73",11,9,7112023,NA,9,"Manchester","blue","33",NA,NA,"b",11,"",-0.47582035,-0.040417029,-0.435403321,FALSE,0.7167,-0.607511261336682,"Induced triploid"
"75","74",12,2,7112023,1420,2,"Manchester","blue","30",NA,NA,"c",12,"",-0.362171885,-0.039817129,-0.322354756,FALSE,0.6484,-0.497154157927205,"Induced triploid"
"76","75",12,4,7112023,1420,4,"Manchester","red","25",NA,NA,"c",12,"",-0.074773715,-0.039817129,-0.034956586,FALSE,1.0141,-0.0344705512276896,"Mated triploid"
"77","76",12,5,7112023,1420,5,"Manchester","blue","33",NA,NA,"c",12,"moved probe at ~8 mins",-0.088018128,-0.039817129,-0.048200999,FALSE,1.0812,-0.0445810201627821,"Induced triploid"
"78","77",12,7,7112023,1420,7,"Manchester","green","94",NA,NA,"c",12,"",-0.597130641,-0.039817129,-0.557313512,FALSE,0.5515,-1.01054127289211,"Diploid"
"79","78",12,8,7112023,1420,8,"Manchester","green","92",NA,NA,"c",12,"",-0.343723222,-0.039817129,-0.303906093,FALSE,0.5547,-0.547874694429421,"Diploid"
"80","8",2,2,7072023,1229,2,"Thorndyke","green","90",NA,NA,"b",2,"",-1.033979846,-0.074903161,-0.959076685,FALSE,1.0611,-0.903851366506456,"Diploid"
"81","80",13,1,7112023,1606,1,"Manchester","red","13",NA,NA,"d",13,"",-0.095262915,-0.049150457,-0.046112458,FALSE,1.1357,-0.0406026750022013,"Mated triploid"
"82","81",13,2,7112023,1606,2,"Manchester","red","12",NA,NA,"d",13,"",-0.426159504,-0.049150457,-0.377009047,FALSE,2.0498,-0.183924796077666,"Mated triploid"
"83","82",13,4,7112023,1606,4,"Manchester","blue","33",NA,NA,"d",13,"",-0.106718585,-0.049150457,-0.057568128,FALSE,1.2175,-0.0472838833675565,"Induced triploid"
"84","84",13,7,7112023,1606,7,"Manchester","blue","30",NA,NA,"d",13,"",-0.146805591,-0.049150457,-0.097655134,FALSE,1.4776,-0.0660903722252301,"Induced triploid"
"85","85",13,8,7112023,1606,8,"Manchester","green","95",NA,NA,"d",13,"",-0.066300192,-0.049150457,-0.017149735,FALSE,0.5175,-0.0331395845410628,"Diploid"
"86","86",13,9,7112023,1606,9,"Manchester","blue","57",NA,NA,"d",13,"",-0.103452435,-0.049150457,-0.054301978,FALSE,0.6251,-0.0868692657174852,"Induced triploid"
"87","87",14,1,7112023,1800,1,"Manchester","red","25",NA,NA,"e",14,"",-0.101558974,-0.066635721,-0.034923253,FALSE,1.0039,-0.0347875814324136,"Mated triploid"
"88","88",14,2,7112023,1800,2,"Manchester","red","13",NA,NA,"e",14,"",-0.093162209,-0.066635721,-0.026526488,FALSE,0.6784,-0.0391015448113208,"Mated triploid"
"89","89",14,4,7112023,1800,4,"Manchester","green","94",NA,NA,"e",14,"",-0.074505143,-0.066635721,-0.007869422,FALSE,0.5246,-0.0150008044224171,"Diploid"
"90","9",2,4,7072023,1229,4,"Thorndyke","green","82",NA,NA,"b",2,"",-1.135041229,-0.074903161,-1.060138068,FALSE,1.0083,-1.05141135376376,"Diploid"
"91","90",14,5,7112023,1800,5,"Manchester","red","12",NA,NA,"e",14,"",-0.124344131,-0.066635721,-0.05770841,FALSE,0.9165,-0.0629660774686307,"Mated triploid"
"92","92",14,8,7112023,1800,8,"Manchester","green","92",NA,NA,"e",14,"",-0.31294262,-0.066635721,-0.246306899,FALSE,0.4529,-0.543843892691543,"Diploid"
"93","93",15,1,7182023,1300,1,"Hood Head","blue","86",NA,NA,"a",15,"discard first 10 minutes. Redoing chamber 7 bc sensor was dumb. Also I think some of the oysters didnt open up until later",-1.275509517,-0.040109754,-1.235399763,FALSE,2.2607,-0.54646780333525,"Induced triploid"
"94","94",15,4,7182023,1300,4,"Hood Head","red","32",NA,NA,"a",15,"",-1.133416442,-0.040109754,-1.093306688,FALSE,2.3577,-0.463717473809221,"Mated triploid"
"95","95",15,5,7182023,1300,5,"Hood Head","green","54",NA,NA,"a",15,"",-1.12909246,-0.040109754,-1.088982706,FALSE,1.2939,-0.841628183012598,"Diploid"
"96","96",15,8,7182023,1300,8,"Hood Head","blue","85",NA,NA,"a",15,"",-0.573367839,-0.040109754,-0.533258085,FALSE,1.7961,-0.296897770168699,"Induced triploid"
"97","97",15,9,7182023,1300,9,"Hood Head","green","87",NA,NA,"a",15,"",-0.492148685,-0.040109754,-0.452038931,FALSE,1.2277,-0.368199829762971,"Diploid"
"98","98",16,1,7182023,1430,1,"Hood Head","red","47",NA,NA,"b",16,"redoof chamber 7 from last round bc probe was fucked up",-0.179265186,-0.038875189,-0.140389997,FALSE,2.5225,-0.0556551028741328,"Mated triploid"
"99","99",16,2,7182023,1430,2,"Hood Head","red","38",NA,NA,"b",16,"",-1.708228576,-0.038875189,-1.669353387,FALSE,2.3204,-0.719424834942251,"Mated triploid"
